RRC-TAPE-RECORD-ID,LDGSDATA-CYCLE-KEY,LDGSDATA-OPERATOR-NUMBER,LDGSDATA-FL-FIELD-NO,LDGSDATA-FIELD-RESERVOIR-NO,LDGSDATA-FIELD-TYPE,LDGSDATA-TYPE-FIELD-CODE,LDGSDATA-BALANCING-FIELD-FLAG,LDGSDATA-BALANCING-RULE-CODE,LDGSDATA-WELL-NUMBER,LDGSDATA-WLROOT-KEY,LDGSDATA-P2-FILED-FLAG,LDGSDATA-CORRECTED-P2-FLAG,LDGSDATA-WORD-ALLOWABLE,LDGSDATA-ALLOWABLE,LDGSDATA-WELL-TYPE,LDGSDATA-14B2-CODE,FILLER,LDGSDATA-ALLOWABLE-CODE,LDGSDATA-TOP-SCHED-ALLOWABLE,LDGSDATA-REVISED-ALLOW-CODE,LDGSDATA-COMMINGLED-FLAG,LDGSDATA-PRODUCTION,LDGSDATA-INJECTION-CREDIT-CODE,LDGSDATA-G9-INJECTION-AMOUNT,LDGSDATA-LIFT-GAS-INJECTED,LDGSDATA-MONTHLY-STATUS,LDGSDATA-REINSTATED-UNDERAGE,LDGSDATA-REIN-UNDERAGE-YEAR,LDGSDATA-REIN-UNDERAGE-MONTH,LDGSDATA-REIN-UNDERAGE-DAY,LDGSDATA-OVERAGE-TRANSFER,LDGSDATA-CUMU-STATUS,LDGSDATA-COND-LIMIT,LDGSDATA-COND-PLANT-PRODUCTION,LDGSDATA-COND-LEASE-PRODUCTION,LDGSDATA-COND-EOM-BALANCE,LDGSDATA-CANCEL-UNDERAGE-FLAG,LDGSDATA-CUMULATIVE-OVERAGE,LDGSDATA-LIQUID-CUMU-STATUS,RRC-TAPE-FILLER
02,9590,342800,02568,001,N,EX,,,1,00306005,,0,14B DENY,0,SH,4,,K,0,,N,0,0,0,0,0,0,0000,00,00,0,0,0,0,0,0,,1213,0,
02,9591,342800,02568,001,N,EX,,,1,00306005,,0,14B DENY,0,SH,4,,K,0,,N,0,0,0,0,0,0,0000,00,00,0,0,0,0,0,0,,1213,0,
02,9592,342800,02568,001,N,EX,,,1,00306005,,0,14B DENY,0,SH,4,,K,0,,N,0,0,0,0,0,0,0000,00,00,0,0,0,0,0,0,,1213,0,
02,9593,342800,02568,001,N,EX,,,1,00306005,,0,14B DENY,0,SH,4,,K,0,,N,0,0,0,0,0,0,0000,00,00,0,0,0,0,0,0,,1213,0,
02,9594,342800,02568,001,N,EX,,,1,00306005,,0,14B DENY,0,SH,4,,K,0,,N,0,0,0,0,0,0,0000,00,00,0,0,0,0,0,0,,1213,0,
02,9595,342800,02568,001,N,EX,,,1,00306005,,0,14B DENY,0,SH,4,,K,0,,N,0,0,0,0,0,0,0000,00,00,0,0,0,0,0,0,,1213,0,
02,9596,342800,02568,001,N,EX,,,1,00306005,,0,14B DENY,0,SH,4,,K,0,,N,0,0,0,0,0,0,0000,00,00,0,0,0,0,0,0,,1213,0,
02,9597,342800,02568,001,N,EX,,,1,00306005,,0,14B DENY,0,SH,4,,K,0,,N,0,0,0,0,0,0,0000,00,00,0,0,0,0,0,0,,1213,0,
02,9598,342800,02568,001,N,EX,,,1,00306005,,0,14B DENY,0,SH,4,,K,0,,N,0,0,0,0,0,0,0000,00,00,0,0,0,0,0,0,,1213,0,
02,9599,342800,02568,001,N,EX,,,1,00306005,,0,14B DENY,0,SH,4,,K,0,,N,0,0,0,0,0,0,0000,00,00,0,0,0,0,0,0,,1213,0,
