RRC-TAPE-RECORD-ID,LDG-CSH-DISPOSITION-CODE,LDG-CSH-DISPOSITION-AMOUNT,RRC-TAPE-FILLER
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,03,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
08,04,1,
