RRC-TAPE-RECORD-ID,LD-GAS-BALANCING-PERIOD-STATUS,LD-GAS-CANCELLED-UNDERAGE,LD-GAS-OFF-FILE-BAL-PER-STATUS,LD-GAS-OFF-FILE-CUM-OVERAGE,RRC-TAPE-FILLER
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
05,0,0,0,0,
